id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,filtered_tweet,pred_value,confidence,confidencefull,pred_sentiment
1560852012547289088,1560842268952563713,2022-08-20 12:51:33 +08,2022-08-20,12:51:33,800,459115694,kolsenertito,ᴶᴱᴰ,,"@LeoPostrado29 Walang sense of urgency. Nung ginawang batas ang National ID, sana nakipag-coordinate sa lahat ng sangay ng gobyerno to make it work for all agencies. Kaka badtrip.",tl,[],[],[],1,0,1,[],[],https://twitter.com/kolsenertito/status/1560852012547289088,False,,0,,Philippines,,,,,,"[{'screen_name': 'LeoPostrado29', 'name': 'Leonard Postrado', 'id': '152657470'}]",,,,,walang sense of urgency nung ginawang batas ang national id sana nakipag coordinate sa lahat ng sangay ng gobyerno to make it work for all agencies kaka badtrip,-1,0.6848302205584024,"[0.6848302205584024, 0.11841857625453368, 0.19675120318706382]",negative
1560849819450900480,1560849819450900480,2022-08-20 12:42:50 +08,2022-08-20,12:42:50,800,1417838430046756866,jaysonkenneth6,Jaysonkenneth,,Kahit national id na lang dumating kahit wag na girfriend😭,tl,[],[],[],0,0,0,[],[],https://twitter.com/Jaysonkenneth6/status/1560849819450900480,False,,0,,Philippines,,,,,,[],,,,,kahit national id na lang dumating kahit wag na girfriend ,-1,0.9262718158228146,"[0.9262718158228146, 0.029861533250171036, 0.043866650927014326]",negative
1560845706377670656,1560828474964996098,2022-08-20 12:26:30 +08,2022-08-20,12:26:30,800,213532135,yunak21,Miroslav Kalniev,,"@BenDoon73 @Ajarncom Esp the randomness of acceptance: last Nov went to a smallish National Park in Rayong area, showed the park ranger my work permit and he looked confused. Once I showed him the Pink ID, straight away paid Thai price 😅",en,[],[],[],0,0,0,[],[],https://twitter.com/yunak21/status/1560845706377670656,False,,0,,Philippines,,,,,,"[{'screen_name': 'BenDoon73', 'name': 'Ben Doon', 'id': '280922341'}, {'screen_name': 'Ajarncom', 'name': 'Samut Prakan Phil 🇬🇧 🇹🇭', 'id': '211016633'}]",,,,,esp the randomness of acceptance last nov went to smallish national park in rayong area showed the park ranger my work permit and he looked confused once showed him the pink id straight away paid thai price ,0,0.6054689150812157,"[0.21700959537947936, 0.6054689150812157, 0.1775214895393049]",neutral
1560843320766517250,1560843320766517250,2022-08-20 12:17:01 +08,2022-08-20,12:17:01,800,2464670378,jeyemmss,Hayme,,Punta akong national bookstore mamaya or bukas bibili lang ako nung id holder,tl,[],[],[],0,0,0,[],[],https://twitter.com/JeyEmmss/status/1560843320766517250,False,,0,,Philippines,,,,,,[],,,,,punta akong national bookstore mamaya or bukas bibili lang ako nung id holder,-1,0.49439983685399547,"[0.49439983685399547, 0.2539754874405469, 0.2516246757054577]",negative
1560842268952563713,1560842268952563713,2022-08-20 12:12:50 +08,2022-08-20,12:12:50,800,459115694,kolsenertito,ᴶᴱᴰ,,"Alam nyo kung gaano ka incompetent ang gobyerno? The National ID should have been used as a tool to distribute monetary help. May database, may records ng holder. Eh di ginawa na lang cashless ang distribution. Eh nagpalaki lang ng bayag si Duterte eh.",tl,[],[],[],1,5,17,[],[],https://twitter.com/kolsenertito/status/1560842268952563713,False,,0,,Philippines,,,,,,[],,,,,alam nyo kung gaano ka incompetent ang gobyerno the national id should have been used as tool to distribute monetary help may database may records ng holder eh di ginawa na lang cashless ang distribution eh nagpalaki lang ng bayag si duterte eh,-1,0.9141572748573354,"[0.9141572748573354, 0.04896581392310432, 0.03687691121956016]",negative
1560831518343192577,1560831518343192577,2022-08-20 11:30:07 +08,2022-08-20,11:30:07,800,1540701095739109377,username081403,Lovely,,ok wala pa national id ko. what f pinagtatawanan na pic ko? 🥹,tl,[],[],[],0,0,0,[],[],https://twitter.com/username081403/status/1560831518343192577,False,,0,,Philippines,,,,,,[],,,,,ok wala pa national id ko what pinagtatawanan na pic ko ,-1,0.858449136913638,"[0.858449136913638, 0.08188131428932216, 0.05966954879703987]",negative
1560818307628150784,1560798067959660544,2022-08-20 10:37:37 +08,2022-08-20,10:37:37,800,113490055,mokaryo,mok,,"@oslecjunior pakadali naman dapat ng distro ng ganyan. bakit kase kelangan jan sa pinas eh “manual”   kulang sa creativity at innovation ng government ih!   pwede naman partner banks saka PSA PSN (Filipino National ID, whatever they call it) naka tied-up ang account.",tl,[],[],[],2,0,1,[],[],https://twitter.com/mokaryo/status/1560818307628150784,False,,0,,Philippines,,,,,,"[{'screen_name': 'oslecjunior', 'name': 'JR Santiago', 'id': '194022246'}]",,,,,pakadali naman dapat ng distro ng ganyan bakit kase kelangan jan sa pinas eh manual kulang sa creativity at innovation ng government ih pwede naman partner banks saka psa psn filipino national id whatever they call it naka tied up ang account,-1,0.7675560581836837,"[0.7675560581836837, 0.09743175497352596, 0.13501218684279048]",negative
1560800609313632256,1560800609313632256,2022-08-20 09:27:18 +08,2022-08-20,09:27:18,800,1045824364342476800,boritxanol,jacques_aubrey🦉,,Asa naman ning national id tawn uy need kaayu nako pang verified,tl,[],[],[],0,0,1,[],[],https://twitter.com/boritxanol/status/1560800609313632256,False,,0,,Philippines,,,,,,[],,,,,asa naman ning national id tawn uy need kaayu nako pang verified,-1,0.8259871607428623,"[0.8259871607428623, 0.0607293000309133, 0.11328353922622449]",negative
1560792118347857920,1560792118347857920,2022-08-20 08:53:33 +08,2022-08-20,08:53:33,800,1635955363,mybenchbody737,Low KarL,,Dumating na MonkeyPox National ID wala pa rin.🤣🤣,tl,[],[],[],1,0,0,[],[],https://twitter.com/mybenchbody737/status/1560792118347857920,False,https://twitter.com/mgagwapoforleni/status/1560526992021237760,0,,Philippines,,,,,,[],,,,,dumating na monkeypox national id wala pa rin ,-1,0.9808079444853552,"[0.9808079444853552, 0.010493476379114262, 0.00869857913553034]",negative
1560767491466354688,1560767491466354688,2022-08-20 07:15:42 +08,2022-08-20,07:15:42,800,1261610970,msnph,MSN Philippines,,Govt should terminate contract with national ID supplier (3)  https://t.co/GLp0lE4Bw6  https://t.co/JHOpBg5EQe,en,[],['http://www.msn.com/en-ph/news/opinion/govt-should-terminate-contract-with-national-id-supplier-3/ar-AA10Q5hF?ocid=ob-tw-enph-502'],['https://pbs.twimg.com/media/Faj1w0NUUAEvg3A.jpg'],0,0,0,[],[],https://twitter.com/msnph/status/1560767491466354688,False,,1,https://pbs.twimg.com/media/Faj1w0NUUAEvg3A.jpg,Philippines,,,,,,[],,,,,govt should terminate contract with national id supplier 3,0,0.6309694726431123,"[0.2736714451703572, 0.6309694726431123, 0.0953590821865305]",neutral
