id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,filtered_tweet,sentiment,pred_sentiment,pred_value,confidence,confidencefull
1.5899e+18,1.5899e+18,2022-11-08 16:35:47 +08,11/8/2022,16:35:47,800,1.14666e+18,pressoneph,PressONE.PH,,"Mogato: ""The military has been successful in decimating the rebel ranks but as long as the conditions for taking up arms remain, there will be no end to insurgency in the country."" #PressOnePH  Read Manny Mogato's column here:  https://t.co/QnedhOx8Cl",en,[],['https://pressone.ph/defeating-the-communist-insurgency/'],[],0,1,0,['pressoneph'],[],https://twitter.com/PressOnePH/status/1589899470682345472,False,,0,,Manila,,,,,,[],,,,,mogato the military has been successful in decimating the rebel ranks but as long as the conditions for taking up arms remain there will be no end to insurgency in the country read manny mogato column here,neutral,neutral,0,0.7436804518827892,"[0.13196656243260527, 0.7436804518827892, 0.1243529856846057]"
1.5899e+18,1.5899e+18,2022-11-08 16:33:56 +08,11/8/2022,16:33:56,800,1.45621e+18,urgfbelinda,𝙃𝙖𝙨𝙚𝙇 ia ༉‧₊˚✧,,Gwapooo ni Manny!!!,tl,[],[],[],0,0,0,[],[],https://twitter.com/urgfbelinda/status/1589899007744446464,False,https://twitter.com/donutooantonio/status/1589898812193402880,0,,Manila,,,,,,[],,,,,gwapooo ni manny,positive,positive,1,0.4413623877785539,"[0.12607740238733053, 0.43256020983411547, 0.4413623877785539]"
1.58973e+18,1.58973e+18,2022-11-08 05:37:38 +08,11/8/2022,5:37:38,800,6490692.0,reyl,Rey Sistance,,"Ang cute talaga ni Sandara. And si Manny na rin, pag di sya politico.  Sandara Park, a Filipino superstar  https://t.co/6LuQjZOBmn via @YouTube",tl,"[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['https://youtu.be/vQJdnSVNhoI'],[],0,0,0,[],[],https://twitter.com/reyl/status/1589733840582737920,False,,0,,Manila,,,,,,[],,,,,ang cute talaga ni sandara and si manny na rin pag di sya politico sandara park filipino superstar via,positive,positive,1,0.5125329515496321,"[0.24090638117276597, 0.24656066727760195, 0.5125329515496321]"
1.58973e+18,1.58973e+18,2022-11-08 05:32:35 +08,11/8/2022,5:32:35,800,427117539.0,plumpy_arts,Plumpy Arts | The ACCLAIMED are CHAMPS BAYBAY!,,@JeremyCom Manny Villiar 🤣,en,[],[],[],0,0,0,[],[],https://twitter.com/Plumpy_Arts/status/1589732571566731264,False,,0,,Manila,,,,,,"[{'screen_name': 'JeremyCom', 'name': 'Jeremy Padawer', 'id': '80443432'}]",,,,,manny villiar ,neutral,neutral,0,0.7078694861697333,"[0.0708341823675029, 0.7078694861697333, 0.22129633146276378]"
1.58967e+18,1.58967e+18,2022-11-08 01:09:42 +08,11/8/2022,1:09:42,800,9.90541e+17,tinkpangilinan1,tinkerbelle:) AN INCONVENIENT LOVE 11-23-22🧡💜💚,,Our Ayef and Manny! Sintra 💜💚🧡 #DonBelle #AnInconvenientLove  https://t.co/RA0du4Iiy2,en,[],[],"['https://pbs.twimg.com/media/Fg-hK4laUAAXhcW.jpg', 'https://pbs.twimg.com/media/Fg-hLhZakAAQAZ5.jpg']",0,0,1,"['donbelle', 'aninconvenientlove']",[],https://twitter.com/tinkpangilinan1/status/1589666415627628545,False,,1,https://pbs.twimg.com/media/Fg-hK4laUAAXhcW.jpg,Manila,,,,,,[],,,,,our ayef and manny sintra ,neutral,neutral,0,0.6905070066289795,"[0.11403480511885815, 0.6905070066289795, 0.19545818825216235]"
1.58965e+18,1.58962e+18,2022-11-08 00:08:33 +08,11/8/2022,0:08:33,800,17315481.0,bolit,bølit 🌸,,@wreviewpodcast Manny Jacinto🥰,en,[],[],[],0,0,1,[],[],https://twitter.com/bolit/status/1589651026365538304,False,,0,,Manila,,,,,,"[{'screen_name': 'wreviewpodcast', 'name': 'WREVIEW.', 'id': '1264491288595841025'}]",,,,,manny jacinto ,neutral,neutral,0,0.7078694861697333,"[0.0708341823675029, 0.7078694861697333, 0.22129633146276378]"
1.58958e+18,1.58958e+18,2022-11-07 19:19:12 +08,11/7/2022,19:19:12,800,7.13322e+17,romeocaldillero,Romeo Caldillero,,Hello Manny! Miss you inside the ring!,en,[],[],[],0,0,1,[],[],https://twitter.com/romeocaldillero/status/1589578208210718721,False,https://twitter.com/dyancastillejo/status/1589168969407422466,0,,Manila,,,,,,[],,,,,hello manny miss you inside the ring,positive,neutral,0,0.5750549652637638,"[0.14645590971536493, 0.5750549652637638, 0.2784891250208713]"
1.58943e+18,1.58943e+18,2022-11-07 09:50:01 +08,11/7/2022,9:50:01,800,412713702.0,pldt,PLDT Inc.,,"PLDT chair Manny Pangilinan anticipated bigger challenges in the coming year even as the company posted a record-high P142-B revenue. He cited interest rate hikes, inflation, and geopolitical volatility as some of the pressures the company must overcome.  https://t.co/T4hwcgCiXb",en,[],['https://twitter.com/rapplerdotcom/status/1588190778932830208'],[],3,0,1,[],[],https://twitter.com/pldt/status/1589434970657165312,False,https://twitter.com/rapplerdotcom/status/1588190778932830208,0,,Manila,,,,,,[],,,,,pldt chair manny pangilinan anticipated bigger challenges in the coming year even as the company posted record high p142 revenue he cited interest rate hikes inflation and geopolitical volatility as some of the pressures the company must overcome,neutral,neutral,0,0.6612979804518127,"[0.15492686362746622, 0.6612979804518127, 0.1837751559207211]"
1.58856e+18,1.58833e+18,2022-11-04 23:37:10 +08,11/4/2022,23:37:10,800,795623292.0,praxis70,Sir Z,,"@pinoyanghang @anita_detablan In all fairness to Manny Pacquiao's followers, they never insisted, did not proclaim, and in no circumstances imagined that their idol had become cerebral after his speech at Oxford. Ang Lenibelles lang talaga. The evolution of the yellow-pink crowd is historically annoying.",en,[],[],[],1,0,15,[],[],https://twitter.com/praxis70/status/1588555963535360002,False,,0,,Manila,,,,,,"[{'screen_name': 'pinoyanghang', 'name': 'Pinoytapsilog', 'id': '213219890'}, {'screen_name': 'anita_detablan', 'name': 'Anita Detablan', 'id': '969842668493615105'}]",,,,,detablan in all fairness to manny pacquiao followers they never insisted did not proclaim and in no circumstances imagined that their idol had become cerebral after his speech at oxford ang lenibelles lang talaga the evolution of the yellow pink crowd is historically annoying,neutral,neutral,0,0.4537342545962041,"[0.3496167306625328, 0.4537342545962041, 0.19664901474126306]"
1.58837e+18,1.58837e+18,2022-11-04 11:03:18 +08,11/4/2022,11:03:18,800,1.14666e+18,pressoneph,PressONE.PH,,Read Manny Mogato's column here:  https://t.co/XJc5qhXAVA,en,[],['https://pressone.ph/rotten-justice-system/'],[],0,0,1,[],[],https://twitter.com/PressOnePH/status/1588366249142034432,False,,0,,Manila,,,,,,[],,,,,read manny mogato column here,neutral,neutral,0,0.8115601422122842,"[0.07617419235750705, 0.8115601422122842, 0.1122656654302088]"
1.58836e+18,1.58836e+18,2022-11-04 10:43:31 +08,11/4/2022,10:43:31,800,36610676.0,jom_samson,jom,,"Manny, Manny, Manny 😭😭😭",en,[],[],[],1,0,3,[],[],https://twitter.com/jom_samson/status/1588361269991854081,False,,0,,Manila,,,,,,[],,,,,manny manny manny ,neutral,neutral,0,0.7078694861697333,"[0.0708341823675029, 0.7078694861697333, 0.22129633146276378]"
